product_id,warehouse_id,current_stock,reorder_level,updated_at
P0001,W01,409,205,2026-09-06T01:25:20.952348
P0001,W02,613,233,2026-09-06T01:25:20.952348
P0001,W03,247,222,2026-09-06T01:25:20.952348
P0001,W04,862,189,2026-09-06T01:25:20.952348
P0001,W05,368,263,2026-09-06T01:25:20.952348
P0001,W06,665,193,2026-09-06T01:25:20.952348
P0001,W07,663,104,2026-09-06T01:25:20.952348
P0001,W08,286,186,2026-09-06T01:25:20.952348
P0002,W01,557,162,2026-09-06T01:25:20.952348
P0002,W02,552,226,2026-09-06T01:25:20.952348
P0002,W03,369,109,2026-09-06T01:25:20.952348
P0002,W04,13,289,2026-09-06T01:25:20.952348
P0002,W05,511,291,2026-09-06T01:25:20.952348
P0002,W06,475,108,2026-09-06T01:25:20.952348
P0002,W07,631,248,2026-09-06T01:25:20.952348
P0002,W08,55,287,2026-09-06T01:25:20.952348
P0003,W01,192,129,2026-09-06T01:25:20.952348
P0003,W02,454,137,2026-09-06T01:25:20.952348
P0003,W03,97,261,2026-09-06T01:25:20.952348
P0003,W04,899,119,2026-09-06T01:25:20.952348
P0003,W05,812,158,2026-09-06T01:25:20.952348
P0003,W06,784,192,2026-09-06T01:25:20.952348
P0003,W07,601,280,2026-09-06T01:25:20.952348
P0003,W08,512,100,2026-09-06T01:25:20.952348
P0004,W01,289,149,2026-09-06T01:25:20.952348
P0004,W02,214,160,2026-09-06T01:25:20.952348
P0004,W03,112,293,2026-09-06T01:25:20.952348
P0004,W04,383,272,2026-09-06T01:25:20.952348
P0004,W05,430,248,2026-09-06T01:25:20.952348
P0004,W06,430,167,2026-09-06T01:25:20.952348
P0004,W07,18,129,2026-09-06T01:25:20.952348
P0004,W08,49,121,2026-09-06T01:25:20.952348
P0005,W01,319,203,2026-09-06T01:25:20.952348
P0005,W02,31,123,2026-09-06T01:25:20.952348
P0005,W03,907,258,2026-09-06T01:25:20.952348
P0005,W04,693,151,2026-09-06T01:25:20.952348
P0005,W05,943,153,2026-09-06T01:25:20.952348
P0005,W06,334,147,2026-09-06T01:25:20.952348
P0005,W07,7,211,2026-09-06T01:25:20.952348
P0005,W08,170,144,2026-09-06T01:25:20.952348
P0006,W01,828,198,2026-09-06T01:25:20.952348
P0006,W02,55,275,2026-09-06T01:25:20.952348
P0006,W03,580,153,2026-09-06T01:25:20.952348
P0006,W04,79,199,2026-09-06T01:25:20.952348
P0006,W05,761,170,2026-09-06T01:25:20.952348
P0006,W06,133,294,2026-09-06T01:25:20.952348
P0006,W07,395,202,2026-09-06T01:25:20.952348
P0006,W08,857,158,2026-09-06T01:25:20.952348
P0007,W01,236,129,2026-09-06T01:25:20.952348
P0007,W02,388,124,2026-09-06T01:25:20.952348
P0007,W03,299,113,2026-09-06T01:25:20.952348
P0007,W04,925,240,2026-09-06T01:25:20.952348
P0007,W05,976,139,2026-09-06T01:25:20.952348
P0007,W06,194,126,2026-09-06T01:25:20.952348
P0007,W07,7,116,2026-09-06T01:25:20.952348
P0007,W08,486,121,2026-09-06T01:25:20.952348
P0008,W01,707,214,2026-09-06T01:25:20.952348
P0008,W02,123,254,2026-09-06T01:25:20.952348
P0008,W03,813,249,2026-09-06T01:25:20.952348
P0008,W04,302,181,2026-09-06T01:25:20.952348
P0008,W05,476,289,2026-09-06T01:25:20.952348
P0008,W06,256,111,2026-09-06T01:25:20.952348
P0008,W07,342,295,2026-09-06T01:25:20.952348
P0008,W08,112,254,2026-09-06T01:25:20.952348
P0009,W01,681,263,2026-09-06T01:25:20.952348
P0009,W02,586,192,2026-09-06T01:25:20.954352
P0009,W03,29,241,2026-09-06T01:25:20.954352
P0009,W04,75,253,2026-09-06T01:25:20.954352
P0009,W05,917,281,2026-09-06T01:25:20.954352
P0009,W06,11,101,2026-09-06T01:25:20.954352
P0009,W07,861,293,2026-09-06T01:25:20.954352
P0009,W08,833,185,2026-09-06T01:25:20.954352
P0010,W01,422,297,2026-09-06T01:25:20.954352
P0010,W02,451,159,2026-09-06T01:25:20.954352
P0010,W03,652,191,2026-09-06T01:25:20.954352
P0010,W04,161,206,2026-09-06T01:25:20.954352
P0010,W05,231,193,2026-09-06T01:25:20.954352
P0010,W06,612,194,2026-09-06T01:25:20.954352
P0010,W07,89,220,2026-09-06T01:25:20.954352
P0010,W08,818,210,2026-09-06T01:25:20.954352
P0011,W01,244,192,2026-09-06T01:25:20.954352
P0011,W02,186,167,2026-09-06T01:25:20.954352
P0011,W03,112,161,2026-09-06T01:25:20.954352
P0011,W04,667,107,2026-09-06T01:25:20.954352
P0011,W05,153,280,2026-09-06T01:25:20.954352
P0011,W06,190,234,2026-09-06T01:25:20.954352
P0011,W07,802,293,2026-09-06T01:25:20.954352
P0011,W08,385,222,2026-09-06T01:25:20.954352
P0012,W01,100,113,2026-09-06T01:25:20.954352
P0012,W02,406,206,2026-09-06T01:25:20.954352
P0012,W03,334,290,2026-09-06T01:25:20.954352
P0012,W04,433,105,2026-09-06T01:25:20.954352
P0012,W05,172,175,2026-09-06T01:25:20.954352
P0012,W06,595,142,2026-09-06T01:25:20.954352
P0012,W07,990,149,2026-09-06T01:25:20.954352
P0012,W08,375,214,2026-09-06T01:25:20.954352
P0013,W01,450,213,2026-09-06T01:25:20.954352
P0013,W02,294,120,2026-09-06T01:25:20.954352
P0013,W03,680,177,2026-09-06T01:25:20.954352
P0013,W04,593,111,2026-09-06T01:25:20.954352
P0013,W05,376,220,2026-09-06T01:25:20.954352
P0013,W06,87,227,2026-09-06T01:25:20.954352
P0013,W07,345,149,2026-09-06T01:25:20.954352
P0013,W08,154,132,2026-09-06T01:25:20.954352
P0014,W01,730,226,2026-09-06T01:25:20.954352
P0014,W02,884,274,2026-09-06T01:25:20.954352
P0014,W03,639,258,2026-09-06T01:25:20.954352
P0014,W04,867,226,2026-09-06T01:25:20.954352
P0014,W05,710,273,2026-09-06T01:25:20.954352
P0014,W06,786,189,2026-09-06T01:25:20.954352
P0014,W07,167,200,2026-09-06T01:25:20.954352
P0014,W08,124,180,2026-09-06T01:25:20.954352
P0015,W01,539,218,2026-09-06T01:25:20.954352
P0015,W02,966,233,2026-09-06T01:25:20.954352
P0015,W03,639,280,2026-09-06T01:25:20.954352
P0015,W04,931,234,2026-09-06T01:25:20.954352
P0015,W05,609,282,2026-09-06T01:25:20.954352
P0015,W06,118,202,2026-09-06T01:25:20.954352
P0015,W07,835,286,2026-09-06T01:25:20.954352
P0015,W08,567,163,2026-09-06T01:25:20.954352
P0016,W01,101,222,2026-09-06T01:25:20.954352
P0016,W02,994,127,2026-09-06T01:25:20.954352
P0016,W03,324,129,2026-09-06T01:25:20.954352
P0016,W04,95,117,2026-09-06T01:25:20.954352
P0016,W05,264,141,2026-09-06T01:25:20.954352
P0016,W06,740,167,2026-09-06T01:25:20.954352
P0016,W07,118,140,2026-09-06T01:25:20.954352
P0016,W08,299,279,2026-09-06T01:25:20.954352
P0017,W01,825,228,2026-09-06T01:25:20.954352
P0017,W02,319,193,2026-09-06T01:25:20.954352
P0017,W03,908,178,2026-09-06T01:25:20.954352
P0017,W04,989,206,2026-09-06T01:25:20.954352
P0017,W05,450,155,2026-09-06T01:25:20.954352
P0017,W06,76,272,2026-09-06T01:25:20.954352
P0017,W07,957,152,2026-09-06T01:25:20.954352
P0017,W08,454,119,2026-09-06T01:25:20.954352
P0018,W01,945,289,2026-09-06T01:25:20.954352
P0018,W02,481,282,2026-09-06T01:25:20.954352
P0018,W03,270,123,2026-09-06T01:25:20.954352
P0018,W04,587,100,2026-09-06T01:25:20.954352
P0018,W05,698,204,2026-09-06T01:25:20.954352
P0018,W06,411,252,2026-09-06T01:25:20.954352
P0018,W07,328,179,2026-09-06T01:25:20.954352
P0018,W08,926,181,2026-09-06T01:25:20.954352
P0019,W01,670,113,2026-09-06T01:25:20.954352
P0019,W02,555,190,2026-09-06T01:25:20.954352
P0019,W03,487,289,2026-09-06T01:25:20.954352
P0019,W04,833,101,2026-09-06T01:25:20.954352
P0019,W05,196,165,2026-09-06T01:25:20.954352
P0019,W06,7,131,2026-09-06T01:25:20.954352
