order_id,product_id,warehouse_id,quantity,status,order_timestamp
O000001,P0059,W05,14,CANCELLED,2026-08-19T03:05:20.880590
O000002,P0025,W05,7,PLACED,2026-08-14T02:29:20.880590
O000003,P0095,W01,24,FULFILLED,2026-09-02T10:02:20.880590
O000004,P0007,W08,17,PROCESSING,2026-08-09T15:51:20.880590
O000005,P0066,W02,28,PROCESSING,2026-08-09T15:32:20.880590
O000006,P0077,W02,22,PROCESSING,2026-08-10T04:15:20.880590
O000007,P0016,W04,19,PLACED,2026-08-25T10:26:20.880590
O000008,P0011,W07,22,FULFILLED,2026-09-04T05:56:20.880590
O000009,P0027,W06,8,FULFILLED,2026-08-18T22:14:20.880590
O000010,P0017,W05,15,FULFILLED,2026-08-25T01:43:20.880590
O000011,P0002,W08,20,PLACED,2026-08-10T08:39:20.880590
O000012,P0069,W04,17,FULFILLED,2026-08-10T09:26:20.880590
O000013,P0045,W02,29,PROCESSING,2026-08-13T02:05:20.880590
O000014,P0037,W03,15,FULFILLED,2026-08-23T21:02:20.880590
O000015,P0084,W01,22,FULFILLED,2026-09-03T21:31:20.880590
O000016,P0018,W05,4,PLACED,2026-08-11T18:33:20.880590
O000017,P0020,W05,10,PROCESSING,2026-09-01T05:41:20.880590
O000018,P0027,W05,17,CANCELLED,2026-08-22T15:56:20.880590
O000019,P0007,W02,21,CANCELLED,2026-08-18T11:42:20.880590
O000020,P0006,W01,11,PROCESSING,2026-08-19T15:37:20.880590
O000021,P0034,W03,24,CANCELLED,2026-09-05T01:18:20.880590
O000022,P0091,W07,18,PLACED,2026-09-01T03:59:20.880590
O000023,P0010,W03,18,PLACED,2026-08-12T03:36:20.880590
O000024,P0075,W03,14,PROCESSING,2026-08-23T20:41:20.880590
O000025,P0040,W06,29,PLACED,2026-08-08T23:06:20.880590
O000026,P0027,W04,22,PLACED,2026-08-23T08:14:20.880590
O000027,P0100,W07,20,PROCESSING,2026-08-23T03:43:20.880590
O000028,P0021,W03,29,CANCELLED,2026-08-17T19:59:20.880590
O000029,P0023,W06,26,CANCELLED,2026-08-08T04:29:20.880590
O000030,P0035,W03,26,PLACED,2026-08-18T08:28:20.880590
O000031,P0005,W08,8,PROCESSING,2026-08-24T11:15:20.880590
O000032,P0045,W05,27,PROCESSING,2026-08-28T00:11:20.880590
O000033,P0004,W04,13,FULFILLED,2026-08-17T04:54:20.880590
O000034,P0009,W05,12,CANCELLED,2026-08-19T17:43:20.880590
O000035,P0043,W01,4,FULFILLED,2026-08-31T11:06:20.880590
O000036,P0075,W05,2,PLACED,2026-08-15T04:27:20.880590
O000037,P0056,W06,24,FULFILLED,2026-09-03T05:01:20.880590
O000038,P0078,W02,13,PROCESSING,2026-08-26T22:04:20.880590
O000039,P0006,W07,1,PROCESSING,2026-08-18T15:38:20.880590
O000040,P0056,W02,22,FULFILLED,2026-08-23T15:14:20.880590
O000041,P0041,W02,24,FULFILLED,2026-09-04T10:04:20.880590
O000042,P0040,W07,11,CANCELLED,2026-08-30T03:19:20.880590
O000043,P0071,W03,7,CANCELLED,2026-08-20T12:21:20.880590
O000044,P0087,W03,20,FULFILLED,2026-08-24T07:32:20.880590
O000045,P0071,W01,10,FULFILLED,2026-08-25T12:57:20.880590
O000046,P0056,W06,15,CANCELLED,2026-08-16T14:59:20.880590
O000047,P0087,W04,17,CANCELLED,2026-08-27T04:22:20.880590
O000048,P0085,W02,10,FULFILLED,2026-08-14T18:45:20.880590
O000049,P0097,W04,22,FULFILLED,2026-08-11T07:25:20.880590
O000050,P0026,W03,1,PLACED,2026-08-17T06:47:20.880590
O000051,P0061,W02,15,CANCELLED,2026-08-18T04:51:20.880590
O000052,P0074,W04,23,CANCELLED,2026-09-04T17:17:20.880590
O000053,P0052,W04,5,PLACED,2026-08-29T13:24:20.880590
O000054,P0100,W07,8,PROCESSING,2026-08-11T21:50:20.880590
O000055,P0060,W01,18,PROCESSING,2026-08-30T15:09:20.880590
O000056,P0059,W03,26,CANCELLED,2026-08-12T13:58:20.880590
O000057,P0072,W06,25,CANCELLED,2026-08-31T05:33:20.880590
O000058,P0093,W07,27,CANCELLED,2026-09-03T22:35:20.880590
O000059,P0096,W08,15,FULFILLED,2026-08-14T07:15:20.880590
O000060,P0082,W05,25,CANCELLED,2026-08-18T07:28:20.880590
O000061,P0031,W05,15,PLACED,2026-09-04T13:59:20.880590
O000062,P0031,W05,11,FULFILLED,2026-08-20T01:30:20.880590
O000063,P0011,W03,5,PROCESSING,2026-08-31T15:24:20.880590
O000064,P0089,W03,23,PROCESSING,2026-08-24T11:47:20.880590
O000065,P0054,W07,11,CANCELLED,2026-08-09T23:34:20.880590
O000066,P0008,W04,27,CANCELLED,2026-08-25T23:33:20.880590
