product_id,product_name,category,unit_price
P0001,Product-0001,Electronics,34.76
P0002,Product-0002,Apparel,252.44
P0003,Product-0003,Home,739.11
P0004,Product-0004,Grocery,96.07
P0005,Product-0005,Industrial,41.46
P0006,Product-0006,Electronics,226.45
P0007,Product-0007,Grocery,606.0
P0008,Product-0008,Grocery,206.85
P0009,Product-0009,Grocery,425.32
P0010,Product-0010,Industrial,593.37
P0011,Product-0011,Electronics,761.22
P0012,Product-0012,Home,701.16
P0013,Product-0013,Apparel,285.09
P0014,Product-0014,Home,957.64
P0015,Product-0015,Apparel,111.19
P0016,Product-0016,Industrial,105.75
P0017,Product-0017,Apparel,607.69
P0018,Product-0018,Electronics,732.43
P0019,Product-0019,Grocery,133.58
P0020,Product-0020,Industrial,88.01
P0021,Product-0021,Apparel,831.11
P0022,Product-0022,Grocery,886.6
P0023,Product-0023,Apparel,581.58
P0024,Product-0024,Electronics,55.37
P0025,Product-0025,Home,775.34
P0026,Product-0026,Electronics,856.76
P0027,Product-0027,Electronics,386.32
P0028,Product-0028,Industrial,639.33
P0029,Product-0029,Apparel,171.03
P0030,Product-0030,Apparel,217.41
P0031,Product-0031,Apparel,704.8
P0032,Product-0032,Electronics,613.04
P0033,Product-0033,Home,538.8
P0034,Product-0034,Home,171.77
P0035,Product-0035,Industrial,277.25
P0036,Product-0036,Grocery,227.42
P0037,Product-0037,Apparel,844.42
P0038,Product-0038,Electronics,236.76
P0039,Product-0039,Electronics,807.0
P0040,Product-0040,Industrial,275.06
P0041,Product-0041,Home,914.0
P0042,Product-0042,Grocery,877.6
P0043,Product-0043,Apparel,220.5
P0044,Product-0044,Industrial,401.68
P0045,Product-0045,Industrial,151.44
P0046,Product-0046,Home,254.16
P0047,Product-0047,Grocery,543.59
P0048,Product-0048,Grocery,434.15
P0049,Product-0049,Grocery,405.41
P0050,Product-0050,Home,997.35
P0051,Product-0051,Home,514.43
P0052,Product-0052,Electronics,758.22
P0053,Product-0053,Electronics,161.31
P0054,Product-0054,Home,794.16
P0055,Product-0055,Industrial,600.44
P0056,Product-0056,Industrial,387.8
P0057,Product-0057,Industrial,533.82
P0058,Product-0058,Grocery,862.17
P0059,Product-0059,Electronics,683.48
P0060,Product-0060,Electronics,684.89
P0061,Product-0061,Grocery,753.37
P0062,Product-0062,Apparel,120.44
P0063,Product-0063,Industrial,166.58
P0064,Product-0064,Electronics,954.28
P0065,Product-0065,Apparel,972.17
P0066,Product-0066,Home,512.6
P0067,Product-0067,Electronics,871.81
P0068,Product-0068,Apparel,843.25
P0069,Product-0069,Grocery,612.88
P0070,Product-0070,Home,380.17
P0071,Product-0071,Home,543.99
P0072,Product-0072,Grocery,919.31
P0073,Product-0073,Grocery,330.91
P0074,Product-0074,Electronics,120.75
P0075,Product-0075,Apparel,879.93
P0076,Product-0076,Apparel,247.06
P0077,Product-0077,Home,879.23
P0078,Product-0078,Electronics,94.8
P0079,Product-0079,Industrial,817.86
P0080,Product-0080,Grocery,768.18
P0081,Product-0081,Home,663.15
P0082,Product-0082,Grocery,173.48
P0083,Product-0083,Grocery,873.71
P0084,Product-0084,Industrial,964.72
P0085,Product-0085,Grocery,757.71
P0086,Product-0086,Home,715.82
P0087,Product-0087,Industrial,995.2
P0088,Product-0088,Apparel,443.72
P0089,Product-0089,Grocery,456.97
P0090,Product-0090,Home,232.45
P0091,Product-0091,Apparel,30.82
P0092,Product-0092,Grocery,237.81
P0093,Product-0093,Home,17.12
P0094,Product-0094,Electronics,236.65
P0095,Product-0095,Electronics,861.04
P0096,Product-0096,Electronics,519.01
P0097,Product-0097,Apparel,672.29
P0098,Product-0098,Home,543.84
P0099,Product-0099,Grocery,580.45
P0100,Product-0100,Home,786.77
