shipment_id,order_id,carrier,ship_timestamp,promised_delivery,actual_delivery,status
SHP000001,O004343,DHL,2026-08-17T10:44:20.880590,2026-08-24T10:44:20.880590,2026-08-24T10:44:20.880590,IN_TRANSIT
SHP000002,O000598,UPS,2026-08-20T13:16:20.880590,2026-08-25T13:16:20.880590,2026-08-25T13:16:20.880590,DELAYED
SHP000003,O001484,BlueDart,2026-08-27T22:47:20.880590,2026-08-28T22:47:20.880590,2026-08-28T22:47:20.880590,DELAYED
SHP000004,O002723,UPS,2026-08-14T22:06:20.880590,2026-08-21T22:06:20.880590,2026-08-22T22:06:20.880590,DELAYED
SHP000005,O003300,FedEx,2026-08-31T02:13:20.880590,2026-09-04T02:13:20.880590,2026-09-04T02:13:20.880590,DELAYED
SHP000006,O002460,DHL,2026-08-30T13:14:20.880590,2026-09-03T13:14:20.880590,2026-09-04T13:14:20.880590,IN_TRANSIT
SHP000007,O001115,DHL,2026-08-18T11:13:20.880590,2026-08-22T11:13:20.880590,2026-08-23T11:13:20.880590,DELAYED
SHP000008,O001179,BlueDart,2026-08-16T11:22:20.880590,2026-08-17T11:22:20.880590,2026-08-17T11:22:20.880590,IN_TRANSIT
SHP000009,O004494,BlueDart,2026-08-16T12:52:20.880590,2026-08-20T12:52:20.880590,2026-08-21T12:52:20.880590,DELAYED
SHP000010,O002934,Delhivery,2026-08-13T08:32:20.880590,2026-08-15T08:32:20.880590,2026-08-15T08:32:20.880590,DELAYED
SHP000011,O004129,BlueDart,2026-08-26T16:26:20.880590,2026-08-31T16:26:20.880590,2026-08-30T16:26:20.880590,IN_TRANSIT
SHP000012,O002157,Delhivery,2026-08-08T10:24:20.880590,2026-08-13T10:24:20.880590,2026-08-14T10:24:20.880590,DELAYED
SHP000013,O001445,DHL,2026-08-17T16:44:20.880590,2026-08-23T16:44:20.880590,2026-08-23T16:44:20.880590,IN_TRANSIT
SHP000014,O002128,DHL,2026-08-17T18:26:20.880590,2026-08-20T18:26:20.880590,2026-08-19T18:26:20.880590,DELAYED
SHP000015,O004948,FedEx,2026-08-30T22:40:20.880590,2026-09-03T22:40:20.880590,2026-09-03T22:40:20.880590,DELAYED
SHP000016,O000687,UPS,2026-08-26T02:06:20.880590,2026-08-31T02:06:20.880590,2026-09-01T02:06:20.880590,IN_TRANSIT
SHP000017,O000073,UPS,2026-08-18T18:32:20.880590,2026-08-20T18:32:20.880590,2026-08-20T18:32:20.880590,IN_TRANSIT
SHP000018,O000474,BlueDart,2026-08-27T13:11:20.880590,2026-09-01T13:11:20.880590,2026-09-03T13:11:20.880590,IN_TRANSIT
SHP000019,O002778,UPS,2026-08-29T19:20:20.880590,2026-09-01T19:20:20.880590,2026-09-01T19:20:20.880590,IN_TRANSIT
SHP000020,O004807,DHL,2026-08-10T13:29:20.880590,2026-08-12T13:29:20.880590,2026-08-14T13:29:20.880590,IN_TRANSIT
SHP000021,O001483,BlueDart,2026-08-13T18:09:20.880590,2026-08-15T18:09:20.880590,2026-08-16T18:09:20.880590,DELAYED
SHP000022,O003731,FedEx,2026-08-12T23:40:20.880590,2026-08-14T23:40:20.880590,2026-08-13T23:40:20.880590,DELAYED
SHP000023,O001438,FedEx,2026-08-15T01:43:20.880590,2026-08-19T01:43:20.880590,2026-08-18T01:43:20.880590,DELIVERED
SHP000024,O003808,UPS,2026-08-10T11:20:20.880590,2026-08-16T11:20:20.880590,2026-08-17T11:20:20.880590,IN_TRANSIT
SHP000025,O000989,BlueDart,2026-09-03T16:08:20.880590,2026-09-04T16:08:20.880590,2026-09-05T16:08:20.880590,DELIVERED
SHP000026,O002413,FedEx,2026-08-09T15:54:20.880590,2026-08-14T15:54:20.880590,2026-08-16T15:54:20.880590,IN_TRANSIT
SHP000027,O002368,UPS,2026-08-12T05:57:20.880590,2026-08-19T05:57:20.880590,2026-08-21T05:57:20.880590,IN_TRANSIT
SHP000028,O004534,FedEx,2026-09-02T07:47:20.880590,2026-09-03T07:47:20.880590,2026-09-03T07:47:20.880590,DELIVERED
SHP000029,O003481,Delhivery,2026-08-11T18:32:20.880590,2026-08-12T18:32:20.880590,2026-08-12T18:32:20.880590,DELAYED
SHP000030,O001534,DHL,2026-08-15T05:07:20.880590,2026-08-17T05:07:20.880590,2026-08-18T05:07:20.880590,DELAYED
SHP000031,O000114,DHL,2026-09-01T01:43:20.880590,2026-09-04T01:43:20.880590,2026-09-04T01:43:20.880590,DELAYED
SHP000032,O002201,BlueDart,2026-08-25T03:36:20.880590,2026-09-01T03:36:20.880590,2026-08-31T03:36:20.880590,DELIVERED
SHP000033,O004476,DHL,2026-08-26T06:41:20.880590,2026-09-02T06:41:20.880590,2026-09-01T06:41:20.880590,IN_TRANSIT
SHP000034,O000159,FedEx,2026-08-28T04:49:20.880590,2026-09-04T04:49:20.880590,2026-09-03T04:49:20.880590,IN_TRANSIT
SHP000035,O003651,DHL,2026-08-15T21:20:20.880590,2026-08-18T21:20:20.880590,2026-08-17T21:20:20.880590,DELIVERED
SHP000036,O004779,FedEx,2026-08-20T07:29:20.880590,2026-08-22T07:29:20.880590,2026-08-22T07:29:20.880590,IN_TRANSIT
SHP000037,O001504,UPS,2026-08-27T22:35:20.880590,2026-08-30T22:35:20.880590,2026-08-31T22:35:20.880590,DELAYED
SHP000038,O000927,BlueDart,2026-08-17T05:56:20.880590,2026-08-19T05:56:20.880590,2026-08-21T05:56:20.880590,IN_TRANSIT
SHP000039,O003550,FedEx,2026-08-27T05:56:20.880590,2026-09-01T05:56:20.880590,2026-08-31T05:56:20.880590,DELAYED
SHP000040,O004611,DHL,2026-08-17T04:13:20.880590,2026-08-23T04:13:20.880590,2026-08-24T04:13:20.880590,IN_TRANSIT
SHP000041,O000499,FedEx,2026-08-18T21:31:20.880590,2026-08-21T21:31:20.880590,2026-08-23T21:31:20.880590,DELAYED
SHP000042,O004506,UPS,2026-09-03T22:42:20.880590,2026-09-04T22:42:20.880590,2026-09-06T22:42:20.880590,DELIVERED
SHP000043,O001843,FedEx,2026-09-03T13:55:20.880590,2026-09-07T13:55:20.880590,2026-09-07T13:55:20.880590,IN_TRANSIT
SHP000044,O004432,DHL,2026-08-15T06:13:20.880590,2026-08-17T06:13:20.880590,2026-08-19T06:13:20.880590,DELIVERED
SHP000045,O001821,UPS,2026-08-24T16:47:20.880590,2026-08-30T16:47:20.880590,2026-08-29T16:47:20.880590,IN_TRANSIT
SHP000046,O003517,DHL,2026-09-01T16:35:20.880590,2026-09-03T16:35:20.880590,2026-09-04T16:35:20.880590,DELAYED
SHP000047,O003708,BlueDart,2026-08-26T03:55:20.880590,2026-09-01T03:55:20.880590,2026-09-01T03:55:20.880590,DELIVERED
SHP000048,O001362,Delhivery,2026-08-27T16:53:20.880590,2026-09-02T16:53:20.880590,2026-09-02T16:53:20.880590,IN_TRANSIT
SHP000049,O004818,BlueDart,2026-08-16T09:46:20.880590,2026-08-19T09:46:20.880590,2026-08-21T09:46:20.880590,DELAYED
SHP000050,O004804,UPS,2026-09-04T13:49:20.880590,2026-09-05T13:49:20.880590,2026-09-06T13:49:20.880590,DELAYED
SHP000051,O004143,Delhivery,2026-08-07T02:02:20.880590,2026-08-11T02:02:20.880590,2026-08-11T02:02:20.880590,DELIVERED
SHP000052,O004057,UPS,2026-08-26T02:44:20.880590,2026-09-02T02:44:20.880590,2026-09-03T02:44:20.880590,DELIVERED
SHP000053,O000366,Delhivery,2026-08-14T18:42:20.880590,2026-08-15T18:42:20.880590,2026-08-14T18:42:20.880590,DELAYED
SHP000054,O004875,DHL,2026-08-14T21:01:20.880590,2026-08-16T21:01:20.880590,2026-08-16T21:01:20.880590,DELIVERED
